Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Consumer_Area_Code,Subject,Recorded_Message_Or_Robocall
,2021-07-07 00:35:47,2021-07-06 07:33:00,,Arizona,602,No Subject Provided,Y
8885240690,2021-07-07 00:36:25,2021-07-06 19:40:00,Aptos,California,831,Other,Y
8443843774,2021-07-07 00:36:27,2021-07-06 14:17:00,Bradenton,Florida,216,"Calls pretending to be government, businesses, or family and friends",N
6026034467,2021-07-07 00:38:06,2021-07-06 07:33:00,,Arizona,602,No Subject Provided,Y
5593430176,2021-07-07 00:38:19,2021-07-06 19:55:00,Aptos,California,831,Other,Y
8724849673,2021-07-07 00:38:44,2021-07-06 23:10:00,Aurora,Illinois,331,Other,N
2545626823,2021-07-07 00:38:59,2021-07-06 23:00:00,Dallas,Texas,682,"Calls pretending to be government, businesses, or family and friends",Y
4129529762,2021-07-07 00:41:07,2021-07-07 00:10:00,,Pennsylvania,412,Other,Y
2547156905,2021-07-07 00:44:06,2021-07-06 23:00:00,Dallas,Texas,682,"Calls pretending to be government, businesses, or family and friends",Y
3078511918,2021-07-07 00:46:26,2021-07-06 14:21:00,Riverton,Wyoming,307,Other,N
2097014791,2021-07-07 00:49:29,2021-07-06 08:09:00,Cathedral City,California,562,Dropped call or no message,
5622327459,2021-07-07 00:50:23,2021-07-06 09:11:00,Cathedral City,California,562,Dropped call or no message,
9255784740,2021-07-07 00:51:41,2021-07-06 12:23:00,Cathedral City,California,562,Dropped call or no message,
4422037263,2021-07-07 00:52:38,2021-07-06 13:58:00,Cathedral City,California,562,Dropped call or no message,
5098529698,2021-07-07 00:52:50,2021-07-06 10:36:00,,Oregon,503,Warranties  & protection plans,Y
6196815349,2021-07-07 00:53:28,2021-07-06 14:29:00,Cathedral City,California,562,Dropped call or no message,
,2021-07-07 00:53:49,2021-07-01 00:00:00,,Hawaii,808,No Subject Provided,Y
2065932078,2021-07-07 00:55:51,2021-07-05 18:03:00,,Washington,206,Other,Y
3329107800,2021-07-07 01:03:44,2021-07-06 12:00:00,Merrimack,New Hampshire,603,Other,N
9049158892,2021-07-07 01:05:05,2021-07-05 15:06:00,,California,650,No Subject Provided,N
3603696346,2021-07-07 01:04:33,2021-07-06 13:44:00,Walnut Creek,California,925,Dropped call or no message,Y
